place_id,name,geometry
1,Angerborg (Węgorzewo),POINT (21.7416301 54.21359)
2,Arys (Orzysz),POINT (21.9473 53.80989)
3,Arys (Orzysz),POINT (21.9473 53.80989)
4,Augostov (Augustów),POINT (22.9796023 53.8434431)
5,"Bakkely, Regstrup, Fyn",POINT (10.762567520141602 55.35196387499964)
6,Bebra,POINT (9.7895574 50.9737035)
7,Berlin,POINT (13.4113999 52.5234051)
8,Bialla (Písek),POINT (14.1474693 49.3083158)
9,Braisne,POINT (3.5348511 49.3418815)
10,Branusberg (Braniewo),POINT (19.8200536 54.3797128)
11,Bromberg,POINT (18.0084378 53.1234804)
12,Bruchsal,POINT (8.597701 49.125793)
13,Cessieres,POINT (3.4954777 49.5588119)
14,Chacrise,POINT (3.4043118 49.3025185)
15,"Charlottenburg, Berlin",POINT (13.3015059 52.5110549)
16,Chery les Pouilly ,POINT (3.6062332 49.6587953)
17,Colmar,POINT (7.3599721 48.0806788)
18,Coucy ,POINT (4.4568698 49.5064189)
19,Coulonges Cohan,POINT (3.6343814 49.2007509)
20,Crecy,POINT (3.6218411 49.6982103)
21,Crepi,POINT (3.6218411 49.6982103)
22,Cøln (Køln),POINT (6.9599115 50.9406645)
23,Darkehmen (Ozjorsk),POINT (22.013302 54.4083992)
24,Dercy,POINT (3.6851039 49.7053748)
25,Dirschau (Tczew),POINT (18.7773072 54.0919269)
26,Dirschau (Tczew),POINT (18.7773072 54.0919269)
27,Dombrova,POINT (19.2372329 50.3182923)
28,Dravegny,POINT (3.6375246 49.2306136)
29,Dünaburg (Daugavpils),POINT (26.5357562 55.8753064)
30,Eydtkuhnen (Chernyshevskoye),POINT (22.7299569 54.6376582)
31,Feldburg (Feldbach),POINT (7.2649707 47.5359044)
32,Frankfurt,POINT (8.6805059 50.1115118)
33,Frentigny,POINT (4.0193221 49.5260123)
34,Fretey le Chateau,POINT (2.9803758 49.661237)
35,Grandlup,POINT (3.7375969 49.6576026)
36,Grodno,POINT (19.2272222 52.2913889)
37,Gånsager,POINT (8.884492 55.211014)
38,Halle,POINT (11.965814 51.482166)
39,Hamborg,POINT (9.9915752 53.5538148)
40,Hannover,POINT (9.7356861 52.3720683)
41,Hartennes-et-Taux,POINT (3.3527527 49.2715157)
42,Insterburg ,POINT (21.8079307 54.6369199)
43,Isenheim,POINT (7.2502722 47.9038256)
44,Jelovka,POINT (26.1245364 55.948153)
45,Jetsov (Jezow),POINT (19.968485 51.813468)
46,Johannisburg (Pisz),POINT (21.81237 53.62894)
47,Kreuznach,POINT (7.8601888 49.845941)
48,Königsberg (Kaliningrad),POINT (20.5099722 54.7115951)
49,La Neuville,POINT (4.3755749 49.3466398)
50,Laon,POINT (3.6242454 49.5647461)
51,Lida (Ліда),POINT (25.3 53.8833333)
52,Lissen (Suwalki),POINT (22.9307881 54.1115218)
53,Lods,POINT (19.4559833 51.7592485)
54,Lyk (Ełk),POINT (22.3646629 53.8280529)
55,Løtzen (Giżycko),POINT (21.7667341 54.036405)
56,Namur,POINT (4.867665 50.465328)
57,Noyon (eller der omkring),POINT (3.0032579 49.582413)
58,Olsztyn,POINT (20.4801193 53.778422)
59,Orlau (Orlová),POINT (20.3352759 53.4421037)
60,Pannes (?),POINT (5.8027323 48.9334507)
61,Poniewiez (Panev?ys),POINT (24.3703332 55.7374357)
62,Rehsau (Rydzówka),POINT (21.5848402 54.2324355)
63,Roager,POINT (8.821875 55.259056)
64,Romagne-sous-Montfaucon / Dun-sur-Meuse,POINT (5.0822255 49.3322398)
65,Saint du Nord/Canal du Nord(?),POINT (2.9627114 49.6708952)
66,Skierniewice,POINT (20.1583303 51.9547169)
67,Stendal,POINT (11.866368 52.604071)
68,Uzjany (Utena),POINT (25.6088607 55.5003184)
69,Vallekilde,POINT (11.425181 55.743558)
70,Vauxcere,POINT (3.6371609 49.3407122)
71,Vauxtin,POINT (3.6021459 49.3501987)
72,Villeselve,POINT (3.1096159 49.6900681)
73,Vivaise,POINT (3.5599266 49.6198789)
74,Willenberg (Wielbark),POINT (20.9457569 53.3981483)
75,Øster Åbølling,POINT (8.833278 55.239613)
