lemma,freq
have,2516
komme,2236
være,1875
få,1650
gå,1191
skrive,922
sige,760
se,680
sende,679
blive,653
vide,540
tænke,531
ligge,505
tage,484
tro,374
gøre,264
blire,237
slutte,234
holde,231
høre,226
sidde,225
give,223
mene,182
sove,177
skalle,176
fortælle,175
spørge,164
stå,164
lade,148
tale,146
købe,141
syne,139
forstå,137
håbe,134
rejse,132
kende,132
fortale,126
finde,120
begynde,117
spise,112
gø,111
sætte,111
hjælpe,108
nå,103
lave,99
hilse,95
køre,95
ville,94
synes,94
bestille,86
stande,85
vænne,82
læse,82
behøve,78
måtte,72
arbejde,70
skulde,68
vare,68
falde,67
kunne,66
forglemme,64
vilde,64
huske,62
regne,62
bringe,62
takke,61
mærke,61
føre,57
ønske,56
koge,56
løbe,55
længes,55
bruge,54
lægge,53
melde,52
mangle,52
vaske,51
træffe,49
smage,48
besørge,48
kalde,47
leve,47
såre,46
klage,46
bede,45
ske,45
rykke,45
samle,44
synge,43
levere,42
prøve,41
drikke,41
besøge,41
glæde,40
snakke,40
passe,39
væntere,39
fejre,39
spille,39
vente,39
undskylde,39
lide,39
koste,38
indrette,38
cykle,36
betale,35
tabe,35
forlange,34
sørge,32
modtage,32
følge,32
passere,31
love,30
bære,30
faae,29
lære,28
spare,28
skyde,28
vise,27
slå,27
pakke,27
hænge,26
svare,25
bygge,25
drømme,25
drage,24
flytte,24
lodde,24
ordne,24
tåle,23
vænte,23
forlove,23
smide,23
bore,23
brænde,23
trække,22
forlade,22
stille,22
græde,21
meddele,21
ryge,21
tænde,21
bo,20
bestemme,20
lavere,20
du,19
fryse,19
glemme,19
tilbringe,19
gaae,19
søge,18
nøjes,18
sælge,18
råde,18
le,18
byde,17
rette,17
kunde,17
slæbe,17
marchere,16
hedde,16
råbe,15
skinne,15
ligne,15
vågne,15
hente,15
beholde,15
klare,15
.,15
forestille,14
fotografere,14
tjæne,14
hænne,14
dele,14
opleve,14
bevare,14
hænte,13
flyve,13
danse,13
forsvinde,13
stege,13
gaarre,13
pudse,13
afløse,13
drække,12
undersøge,12
opstå,12
skælde,12
sortere,12
gribe,12
spærre,12
angå,12
fyre,11
ændre,11
drive,11
åbne,11
hvile,11
foregå,11
optage,11
faarre,11
vende,11
undre,11
overtage,11
slide,11
spekulere,11
  ,11
beskyde,11
afsende,11
ankomme,11
gire,10
række,10
spadsere,10
bryde,10
more,10
kæmpe,9
skøde,9
døde,9
stoppe,9
præsentere,9
slippe,9
saae,9
uddanne,9
pynte,9
pleje,9
ødelægge,9
forgå,9
nytte,9
handle,9
stjæle,9
straffe,8
pløje,8
røre,8
udtage,8
bytte,8
kommandere,8
interessere,8
jage,8
brække,8
knibe,8
nævne,8
fordele,8
lukke,8
springe,8
vove,8
dømme,8
lede,8
ses,8
drille,8
lette,8
ride,8
skikke,8
skjule,8
bide,8
klappe,8
føle,8
betænke,7
tjene,7
skaffe,7
andrage,7
benytte,7
bøde,7
rulle,7
kaste,7
bestå,7
dække,7
ende,7
afkommandere,7
føje,7
miste,7
forstaae,7
svede,7
fortsætte,7
stole,7
overstå,7
tjænne,7
fylde,6
foretage,6
træde,6
forklare,6
skønne,6
rive,6
risikere,6
beslutte,6
forlænge,6
tilrettelægge,6
grave,6
opstille,6
sy,6
sulte,6
hæntere,6
angribe,6
lappe,6
tillade,6
danne,6
lønne,6
erklære,6
lykkes,6
fejle,6
vinde,6
udføre,6
vække,6
tørre,6
ærgre,6
dampe,6
belægge,6
møde,6
    ,5
lyde,5
tilbyde,5
forespørge,5
undvære,5
indbyde,5
sandse,5
indtage,5
overskride,5
gennembløde,5
gifte,5
bukke,5
ekspedere,5
forstyrre,5
beregne,5
indse,5
bjærge,5
indramme,5
afgøre,5
sanse,5
rase,5
skynde,5
standse,5
fordrive,5
trøste,5
rode,5
de,5
lee,5
betyde,5
tordne,5
narre,5
lande,5
knuse,5
vælge,5
savne,5
tilstå,5
forvare,5
plukke,5
høste,5
afhente,4
plage,4
snappe,4
krybe,4
smutte,4
bande,4
veje,4
varme,4
veede,4
bade,4
gælde,4
leere,4
ringe,4
bage,4
bemærke,4
glide,4
skænde,4
skænke,4
piske,4
afgive,4
ramme,4
logere,4
efterse,4
anse,4
anlægge,4
binde,4
indgive,4
tvinge,4
stikke,4
udsove,4
bedømme,4
så,4
tælle,4
udregne,4
forskyde,4
beskytte,4
thelegrafere,4
indtræffe,4
forbyde,4
omgive,4
afhænne,4
tilkomme,4
ofre,4
udlevere,4
tillukke,4
beførdere,4
forbedre,4
opvarme,4
forstærke,4
udsætte,4
tyde,4
mødes,4
foretrække,4
buldre,4
male,4
trykke,4
korne,4
fortryde,4
udtale,4
overkomme,4
fortjæne,4
fortjene,4
svinde,4
storme,4
indkalde,4
jogge,3
rømme,3
hugge,3
befinde,3
jævne,3
rumle,3
nærme,3
kede,3
måle,3
knage,3
besætte,3
opdage,3
begive,3
modstå,3
photografere,3
lyse,3
overvinde,3
indkvartere,3
prale,3
indlægge,3
overgive,3
lugte,3
overfylde,3
behandle,3
opfylde,3
indtræde,3
løse,3
omtale,3
liste,3
beså,3
hygge,3
repræsentere,3
   ,3
kravle,3
opbevare,3
stige,3
forflytte,3
udbrede,3
føde,3
tilbagelægge,3
sammensætte,3
angive,3
thelefonere,3
bøje,3
spytte,3
frygte,3
fange,3
stemme,3
feje,3
gengælde,3
fortære,3
forekomme,3
tærske,3
støde,3
forbinde,3
findes,3
støtte,3
flygte,3
forberede,3
svømme,3
forsyne,3
tilfredsstille,3
forelægge,3
underskrive,3
afbryde,3
øse,3
dragere,3
bøvle,3
ynke,3
anvise,3
trine,3
sigte,3
trille,3
slagte,3
grue,3
vokse,3
gro,3
tiltale,3
skælne,3
erfare,3
vandre,3
eksplodere,3
forlige,3
skubbe,3
forsvare,3
aflevere,2
naae,2
nagle,2
nedbrænde,2
tynge,2
nedskyde,2
tumle,2
aflægge,2
nyde,2
udbetale,2
sammenskyde,2
uddele,2
lyve,2
berede,2
ængste,2
vænde,2
vælte,2
volde,2
vikle,2
afgå,2
lokke,2
vedtage,2
unde,2
låne,2
udfylde,2
løfte,2
udvise,2
udtjene,2
udstå,2
udrejse,2
medbringe,2
begrænse,2
medsende,2
begrave,2
udlade,2
nynne,2
opdrage,2
trygle,2
rengøre,2
ane,2
spejde,2
præstere,2
banke,2
smigre,2
smede,2
putte,2
slumre,2
redde,2
rede,2
rege,2
skylde,2
skride,2
true,2
skille,2
revidere,2
skifte,2
skarre,2
skade,2
anvende,2
servere,2
arrestere,2
ryste,2
sejle,2
røge,2
røgte,2
stalde,2
stifte,2
pibe,2
strenges,2
nægte,2
troe,2
trave,2
transportere,2
trampe,2
tildele,2
tie,2
tegne,2
afskære,2
opgive,2
oplyse,2
opskrive,2
afslå,2
sysle,2
opsætte,2
optræde,2
afsætte,2
aftrække,2
overgå,2
suse,2
overlade,2
overse,2
styrte,2
studere,2
strikke,2
anmelde,2
øve,2
færdes,2
hitte,2
brumme,2
inspicere,2
fortjænne,2
betragte,2
fodre,2
fløjte,2
helbrede,2
bortlove,2
hae,2
fare,2
fantasere,2
klemme,2
haabe,2
klippe,2
bønhøre,2
klæde,2
gætte,2
erhverve,2
ekcercere,2
bløde,2
konme,2
indvi,2
forskåne,2
eje,2
indstille,2
inde,2
inddele,2
forkøle,2
forkæle,2
forhøje,2
fægte,2
forrette,2
indleve,2
forhindre,2
forfejle,2
indpakke,2
besvare,2
forestå,2
foreslå,2
besvære,2
hænde,2
indsprøjte,2
hviske,2
indspærre,2
hungre,2
hore,2
glippe,2
forme,2
krydse,2
dreje,2
kvalme,2
beskrive,2
kvartere,2
børste,2
dø,2
krænke,2
døbe,2
dødse,2
gide,2
correspondere,2
dræbe,2
drukne,2
laste,2
blæse,2
funktionere,2
blande,2
dumpe,2
kredse,2
fuldføre,2
kræve,2
lae,2
forslå,1
anholde,1
forstørre,1
brune,1
forstille,1
forskanse,1
såkomme,1
afsave,1
afspille,1
forskuppe,1
afskårente,1
afsigte,1
afskikke,1
fåes,1
snuppe,1
snerre,1
snorke,1
telefonere,1
snige,1
sno,1
afskrive,1
taale,1
sprænge,1
tenke,1
tildække,1
forny,1
fornærme,1
smykke,1
forpakke,1
tilkalde,1
tilhøre,1
tilgodehave,1
tilføje,1
tilfælde,1
forpeste,1
tilegne,1
forpleje,1
forsinke,1
tilbygge,1
forpligte,1
smånippe,1
afrive,1
tilberede,1
tigge,1
smægte,1
forringe,1
smække,1
thelephonere,1
smøre,1
forsage,1
sværme,1
aftale,1
frikende,1
sparke,1
sparre,1
funkgerere,1
fragte,1
fungere,1
spendere,1
stjampe,1
stirre,1
afvise,1
stile,1
fremføre,1
fri,1
frigive,1
afviske,1
forsåle,1
friske,1
age,1
stamme,1
friste,1
stakke,1
allemere,1
spøge,1
anbringe,1
spænde,1
spinde,1
anbyde,1
sprøjte,1
sprede,1
angaarre,1
fotokopiere,1
forvolde,1
forvilde,1
forsømme,1
fuldende,1
svænke,1
forsørge,1
bosætte,1
snyde,1
aftære,1
snylte,1
sunde,1
blote,1
fortrylle,1
støve,1
fortræde,1
støre,1
fortæ1le,1
afvaske,1
fortælie,1
styre,1
bortskikke,1
strømme,1
strø,1
strække,1
stråle,1
tilsidesætte,1
fortænke,1
forudtænke,1
strege,1
stritte,1
berolige,1
tilskikke,1
undtage,1
erobre,1
understrege,1
understøtte,1
afhænge,1
afholde,1
afhjælpe,1
vade,1
underholde,1
vande,1
enes,1
vante,1
eksercere,1
ekciecere,1
varte,1
underpløje,1
erstatte,1
bægge,1
udspringe,1
udruste,1
udskadte,1
udskrive,1
udsmykke,1
bæve,1
udspekulere,1
udsprøjte,1
udvænte,1
udstille,1
udstyre,1
fatte,1
fae,1
udvide,1
ersætte,1
ve,1
vedblive,1
vedlægge,1
værge,1
dundre,1
dukke,1
?,1
...,1
',1
                       ,1
yde,1
egne,1
               ,1
ælske,1
          ,1
øjne,1
donre,1
øsregne,1
dyppe,1
],1
vugge,1
vride,1
dæmpe,1
aabne,1
dølge,1
afbrænde,1
døse,1
vifte,1
vie,1
afføre,1
døve,1
ederse,1
velle,1
veksle,1
efterlade,1
udrette,1
fiske,1
forlægge,1
trænge,1
tromle,1
forføre,1
foresætte,1
afplukke,1
træffes,1
trænere,1
tugte,1
trodse,1
foreskrive,1
tvile,1
forelæse,1
tvivle,1
ty,1
forelske,1
forhöje,1
trippe,1
udrage,1
tjenestgøre,1
forleve,1
tiltræde,1
tiltænke,1
tilvokse,1
titulere,1
forlede,1
afrejse,1
forhøre,1
tjæneste,1
brydes,1
to,1
forkorte,1
forke,1
trenere,1
tynde,1
foreligge,1
tysse,1
foragte,1
forbande,1
udbrænde,1
foranstalte,1
forandre,1
uddyrke,1
udeblive,1
udhule,1
bumle,1
udhungre,1
bunde,1
udlægge,1
udmatte,1
udmærke,1
udnævne,1
forbe-rede,1
udbestemme,1
udbemærke,1
udbebo,1
udarbejde,1
udanne,1
udafbryde,1
tøvære,1
tøve,1
forbigå,1
tætte,1
forbruge,1
tære,1
forbryde,1
fordøje,1
foreføre,1
tække,1
afrasere,1
skære,1
sminke,1
besmide,1
omfalde,1
instruere,1
omgå,1
omgåes,1
omorganisere,1
omringe,1
omringle,1
omrode,1
omså,1
omvende,1
op-spise,1
diskutere,1
opbløde,1
opbruge,1
opbygge,1
omdreje,1
ombytte,1
juble,1
kippe,1
nedsætte,1
nikke,1
nippe,1
noke,1
nummerere,1
kjende,1
kigge,1
offere,1
besorgte,1
nåes,1
kavle,1
kapitulere,1
bestraffe,1
befale,1
indvie,1
opdrive,1
operere,1
bestyre,1
ordentligge,1
bedrøve,1
organisere,1
overanstrenge,1
overbevise,1
overbringe,1
indløse,1
indskrænke,1
indløbe,1
indlevere,1
overmale,1
overraske,1
overrække,1
indlade,1
indsaae,1
bedække,1
opfriske,1
opnævne,1
indsætte,1
indsy,1
opholde,1
ophæve,1
ophøre,1
beende,1
oprømme,1
opsøge,1
oprøre,1
opsamle,1
opspare,1
opspise,1
indskyde,1
indskubbe,1
nedstikke,1
klakse,1
blinke,1
nbe,1
lysne,1
lystre,1
kritisere,1
kriple,1
belaste,1
lække,1
læmpe,1
bekræfte,1
læppe,1
bekomme,1
beklage,1
læsse,1
lér,1
lönne,1
behænge,1
lure,1
krøvle,1
kuldkaste,1
kæmme,1
lange,1
berøre,1
bese,1
leje,1
beskadige,1
kæntre,1
levne,1
belejre,1
belønne,1
lige,1
beløbe,1
kurere,1
beskrænke,1
losse,1
kriditere,1
krible,1
løslade,1
knytte,1
komnere,1
misunde,1
beslaglægge,1
koble,1
knække,1
myldre,1
knuppe,1
mishandle,1
befordre,1
mærske,1
kløve,1
mørkne,1
klirre,1
nappe,1
mislykkes,1
misforstå,1
maae,1
konstatere,1
mage,1
krable,1
malke,1
kontrollere,1
begå,1
marschere,1
medføre,1
minde,1
konkurrere,1
medtage,1
begribe,1
mende,1
komnme,1
mige,1
overstaae,1
indkøbe,1
oversætte,1
bedrive,1
hamre,1
halvsove,1
beundre,1
sikre,1
skabe,1
bevilge,1
gyse,1
antænde,1
bevillige,1
antræde,1
skenke,1
gryble,1
grine,1
bevilligte,1
skilte,1
selvlave,1
han'e,1
arte,1
arve,1
henligne,1
røve,1
helle,1
saase,1
sadle,1
sakke,1
sammenkalde,1
haste,1
sammenligne,1
hele,1
sammensy,1
helde,1
betro,1
satte,1
skimte,1
skingre,1
antage,1
gennembore,1
gennemtrænge,1
gennempløje,1
slaae,1
slage,1
gennemlæse,1
ansige,1
slukke,1
gentage,1
genne,1
gave,1
anrette,1
slås,1
garantere,1
gale,1
skærpe,1
gere,1
gnave,1
skumpe,1
bevogte,1
ansætte,1
skrue,1
skråne,1
anstorme,1
skulle,1
sky,1
anskaffe,1
anstille,1
gjætte,1
skyldes,1
bie,1
skále,1
skåne,1
hensætte,1
henvise,1
henvænde,1
polstre,1
planlægge,1
plante,1
indeholde,1
plombere,1
pludre,1
plyndre,1
indbringe,1
pjatte,1
proppe,1
ikke,1
igennemme,1
igennemlæse,1
idømme,1
pudsle,1
indespærre,1
indgnide,1
puste,1
pege,1
overtænke,1
overveje,1
indhænte,1
bebo,1
beanfrage,1
be,1
pfotografere,1
pirre,1
indhænne,1
indgrave,1
pible,1
pikke,1
pille,1
pippe,1
pusle,1
højre,1
assurere,1
betjæne,1
betjene,1
riste,1
hjemslæbe,1
hjemme,1
rokke,1
ruffe,1
rumme,1
rettænke,1
russe,1
rutte,1
hidrøre,1
avertere,1
herske,1
atte,1
betegne,1
besåle,1
hævne,1
besvime,1
pysle,1
påtage,1
påtrykke,1
raabe,1
rakke,1
ramle,1
rasere,1
reservere,1
rasle,1
hælde,1
bamle,1
bakke,1
hyppe,1
rense,1
dekorere,1
